date,value
2000-01-01,20.000799599682363
2000-02-01,22.4186074627865
2000-03-01,23.116104388016982
2000-04-01,22.356115304807773
2000-05-01,21.529912256828815
2000-06-01,20.201006875846307
2000-07-01,20.309093341688335
2000-08-01,20.565562773016445
2000-09-01,18.3946174957512
2000-10-01,17.20169131511704
2000-11-01,17.564103338617954
2000-12-01,18.547553691898045
2001-01-01,20.608519261848635
2001-02-01,22.159618634345662
2001-03-01,23.81528030940129
2001-04-01,23.92694707639789
2001-05-01,21.49170881145513
2001-06-01,21.088126891917863
2001-07-01,19.57420521912945
2001-08-01,19.396223332545762
2001-09-01,18.057423958244936
2001-10-01,17.992190764801457
2001-11-01,16.961865793059168
2001-12-01,19.031898969828106
2002-01-01,21.181888206305743
2002-02-01,23.182917749396527
2002-03-01,22.73840018196909
2002-04-01,23.664849617699687
2002-05-01,22.87392265267974
2002-06-01,21.999227977496155
2002-07-01,20.3554117524215
2002-08-01,20.46388323398394
2002-09-01,19.15851433207276
2002-10-01,18.159255794373355
2002-11-01,19.015290111198528
2002-12-01,18.870679597628275
2003-01-01,21.59886089178541
2003-02-01,24.41927627720505
2003-03-01,24.53495371271928
2003-04-01,24.482393732770298
2003-05-01,23.517249960302596
2003-06-01,22.5070352898598
2003-07-01,21.093713712828503
2003-08-01,21.363914013151053
2003-09-01,21.217786956941573
2003-10-01,18.219355959216486
2003-11-01,19.424304753211615
2003-12-01,20.01315725329678
2004-01-01,21.7430442438303
2004-02-01,25.684693618528563
2004-03-01,25.949762806857485
2004-04-01,24.315462213631612
2004-05-01,24.033883815891887
2004-06-01,23.380425365979626
2004-07-01,22.30729161852201
2004-08-01,22.298314537082877
2004-09-01,20.83131547471245
2004-10-01,20.198710914542318
2004-11-01,20.340745690574074
2004-12-01,20.03639667344033
2005-01-01,22.832040096753225
2005-02-01,24.62327293865602
2005-03-01,26.07701846129921
2005-04-01,24.86332355689741
2005-05-01,24.148902229463705
2005-06-01,23.418049754271085
2005-07-01,23.55419651686526
2005-08-01,23.138817168251187
2005-09-01,20.554258667694796
2005-10-01,19.788482462108426
2005-11-01,20.366193230670298
2005-12-01,19.72050427688059
2006-01-01,22.938939587780954
2006-02-01,25.40118636172042
2006-03-01,27.351353729238856
2006-04-01,26.623112535370993
2006-05-01,24.852759544046016
2006-06-01,23.846002805429034
2006-07-01,23.34737298966335
2006-08-01,23.924716973702502
2006-09-01,21.676335520137204
2006-10-01,20.647607747562933
2006-11-01,20.714888899732998
2006-12-01,21.477076347287813
2007-01-01,23.651765251822276
2007-02-01,25.280279220357812
2007-03-01,27.066805039777368
2007-04-01,26.42667220506664
2007-05-01,26.36343132171409
2007-06-01,25.05008466334976
2007-07-01,24.034306651543545
2007-08-01,23.90887052852977
2007-09-01,22.273636524196036
2007-10-01,22.06888213297752
2007-11-01,21.02219629156102
2007-12-01,22.47477566681128
2008-01-01,23.48091939053972
2008-02-01,26.769764895176955
2008-03-01,26.516961317714166
2008-04-01,25.932036185789045
2008-05-01,25.947538296677994
